"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Время ремонта";"Characteristics:Время чистки";"Characteristics:Объем оперативной памяти";"Characteristics:Объем встроенной памяти";Characteristics:Цвет;Weight;Length;Width;Height
860374296412;;;;"iPhone 11;Ремонт";"Замена кнопки переключения вибро на iPhone 11";"Замена кнопки переключения вибро на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена кнопки переключения вибро на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3536-3363-4865-b433-666137373565/56389286.png;2000.00;;;;;tp9PitkLFt5h4zKA2vxy;;"2 часа";;;;;0;0;0;0
226582021532;;;;"iPhone 11;Ремонт";"Замена верхнего динамика на iPhone 11";"Замена верхнего динамика на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена верхнего динамика на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6633-3964-4538-b162-363735343061/62034644.png;2000.00;;;;;sT3ak15XFdx9YvrnZ02d;;"2 часа";;;;;0;0;0;0
299573478962;;;;"iPhone 11;Ремонт";"Чистка от пыли (без разбора) на iPhone 11";"Чистка динамиков и разъема зарядки на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".";"Чистка динамиков и разъема зарядки на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor6463-3334-4366-a530-343561353836/30243973.png;300.00;;;;;medrbSGcgn2vY1uImUkR;;;"30 мин.";;;;0;0;0;0
497179269162;;;;"iPhone 11;Ремонт";"Перенос данных на iPhone 11";"Перенос данных на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".";"Перенос данных на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor3231-3461-4537-a263-653964313937/11777311.png;500.00;;;;;udeKbyIgKxtaGXvf3AE7;;;;;;;0;0;0;0
800005278002;;;;"iPhone 11;Ремонт";"Чистка динамика, микрофонов от пыли (с разбором) на iPhone 11";"Чистка динамика, микрофонов от пыли (с разбором) на iPhone 11 в сервисном центре ""Bee Service"".";"Чистка динамика, микрофонов от пыли (с разбором) на iPhone 11 в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor6463-3334-4366-a530-343561353836/30243973.png;1500.00;;;;;EJlCmVO4mXkDU17UJz8R;;;"2 часа";;;;0;0;0;0
210595108332;;;;"iPhone 11;Ремонт";"Замена стекла основной камеры на iPhone 11";"Замена стекла основной камеры на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена стекла основной камеры на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6661-3765-4764-b035-356663306533/86574713.png;500.00;;;;;XI4U1oDkLGDSEJkPFXbe;;"1 час";;;;;0;0;0;0
524098653772;;;;"iPhone 11;Ремонт";"Замена нижнего динамика на iPhone 11";"Замена нижнего динамика на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена нижнего динамика на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6633-3964-4538-b162-363735343061/62034644.png;2000.00;;;;;6KPI9Tvg4YAumGR9AKLY;;"2 часа";;;;;0;0;0;0
661949832632;;;;"iPhone 11;Ремонт";"Разблокировка iCloud, код-пароля на iPhone 11";"Разблокировка iCloud, код-пароля на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".<br /><br />Цена указана за разблокировку код-пароля, цену разблокировки iCloud вы можете узнать в онлайн-чате или позвонив нам.";"Разблокировка iCloud, код-пароля на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".<br /><br />Цена указана за разблокировку код-пароля, цену разблокировки iCloud вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3964-3836-4464-b937-643131616132/77683804.png;1500.00;;;;;et3maohmiCJtE6MIGvvo;;"До 7 дней";;;;;0;0;0;0
798239010812;;;;"iPhone 11;Ремонт";"Активация и настройка Apple ID на iPhone 11";"Активация и настройка Apple ID на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".";"Активация и настройка Apple ID на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"".";https://static.tildacdn.com/stor3261-6565-4231-b638-396264646366/96498233.png;500.00;;;;;teGaZpvRBVYI3DyaaAlU;;;;;;;0;0;0;0
761491335782;;;;"iPhone 11;Ремонт";"Замена микрофона на iPhone 11";"Замена микрофона на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена микрофона на iPhone 11, 11 Pro и 11 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6435-6466-4134-a337-306338623766/73044951.png;2000.00;;;;;1arfdOd25uDRGT0J6CHa;;"2 часа";;;;;0;0;0;0
